parent_id,verdict,finding,limitation,sources
historical__321386059,Retain common development; separate financing phases documented,"September 10: HDC identifies 573 Emerald as Linden Terrace II (160) and 583 Emerald as III (156), under Radson sponsorship. Their saved filings are January 29 and February 19, 2019, only 21 days apart. Retain the 316-unit economic parent under the existing 365-day definition.","This is one development opportunity in the filing-window definition, not one financing or construction phase. Separate financed phases are recorded and must not be interpreted as proof of simultaneous construction.",https://www.nychdc.com/sites/default/files/2021-01/Notice%20of%20Public%20Hearing%2011-10-20.pdf ; https://www.nychdc.com/sites/default/files/2022-01/0.%2520Memo-%2520Autho.%2520Reso.%2520Multi%2520Family%2520Housing%2520Revenue%2520Bonds%25202021%2520Series%2520K%2520L%2520M%25202022%2520Series%2520A%2520-%2520Approval%2520of%2520SUN%2520Loan-Board%2520Memo%5B1%5D.pdf
historical__321387021,Connection supported,All three filings share a lot and historical owner. NY DPS case 21-E-0412 names the three addresses in its submetering documents.,Project membership supported; do not interpret three filings as necessarily three standalone legal wage-assessment units.,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B59ED8CAC-F225-4880-B996-420A63C38CC8%7D
historical__220696851,Connection supported,"The SEC collateral description links 322 to adjacent 310, affiliate sponsorship, shared lobby and amenities, and garage easements. A DEC remedial investigation identifies both buildings.",The panel total is a recorded-vintage measure; older press totals differ.,https://www.sec.gov/Archives/edgar/data/850779/000153949725001754/n5151_x2-premktts.htm ; https://extapps.dec.ny.gov/data/DecDocs/C203121/Report.BCP.C203121.2020-07-01.Final%20Remedial%20Investigation%20Report.pdf
historical__420666014,Connection supported,"DEC describes 37-24 and 37-28 30th Street as one redevelopment site, supporting the same-day adjacent filings.",Environmental site identity does not independently verify the final 33+32 unit schedule.,https://extapps.dec.ny.gov/data/der/factsheet/c241214riwpeng.pdf
historical__321595608,Connection supported; earlier companion outside window,"Commercial Observer identifies four jointly financed buildings: 251 and 269 Wallabout, 34 and 58 Union. The panel contains three, totaling 174 units.","Job 320912170 at 251 Wallabout was filed April 16, 2018, before the 2019 historical window and more than 365 days before this parent. Broader development membership differs from the current cohort rule.",https://commercialobserver.com/2021/03/rabsky-group-spencer-equity-broadway-triangle-project-140m-bank-leumi/ ; https://mayafiles.tase.co.il/rpdf/1563001-1564000/P1563409-01.pdf
historical__420667488,Retain common development; separate financing phases documented,"September 10: HDC verifies Phase IV at 1605/1607 Village Lane, 184 apartments. HDC also identifies Phase III as 354. All three saved applications were filed May 8, 2020 under the common development, so retain the 538-unit economic parent under the existing filing-window definition.",Phases III and IV are separate financing phases. Common same-day development does not imply one construction phase or legal wage assessment.,https://www.nychdc.com/sites/default/files/2021-11/Nov%2018%202021%20HDC%20TEFRA%20Notice%20-%20Final%2011.10.21.pdf ; https://www.nychdc.com/sites/default/files/2026-05/REMIC%20Report%20to%20Members%202025-FINAL.pdf
historical__240274528,Connection supported,Contemporaneous permit reports name Franco Sukaj as developer of both 2423 Barker and 2428 Bronx Park East. This supports the adjacent same-period pair.,Common sponsorship is supported; a single financing or legal project has not been independently established.,https://newyorkyimby.com/neighborhoods/Allerton/page/5
historical__421133026,Connection supported,"Fabric Astoria comprises the rental building at 22-51 45th and condominium building at 22-54 46th, developed by Mega. Public reporting identifies 64 rental and 35 condo units.",Mixed rental/condominium tenure matters for model exposure even with a valid parent.,https://newyorkyimby.com/2024/04/housing-lottery-launches-for-fabric-astoria-at-22-51-45th-street-in-astoria-queens.html ; https://cdnek.ekirikas.com/wp-content/uploads/2024/01/0109.pdf
historical__321599141,Connection supported,NY DPS case 23-E-0107 is a single Surf Avenue L/Cal LLC application naming both addresses.,Unit counts require the recorded proposal date rather than substituting later occupancy totals.,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MNO=23-E-0107&MatterSeq=70170
historical__421133632,Connection supported,TF Cornerstone develops both Malt Drive parcels; public construction coverage describes the combined three-tower development.,Two filing constituents correspond to three physical towers; do not equate filing counts mechanically with building counts.,https://newyorkyimby.com/2022/12/construction-goes-vertical-on-three-tower-development-at-2-20-and-2-21-malt-drive-in-hunters-point-queens.html
