sample,job_number_1,job_number_2,review_decision,review_basis,review_source,review_date,source_pages,implementation_status
post_policy,X01201390-I1,X01202536-I1,accept,"The recorded agreement assigns the 99-unit and 65-unit buildings to lots 79 and 88 under one owner; both DOB filings have the same date and design team. Combine as one 164-unit economic parent and use the documented 18,441-square-foot ground once. Apply the membership and land corrections together.",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026071500691002,2026-09-20,4;6-7;25;27,implemented
historical,121207292,121207522,accept,"City Planning identifies both Suffolk and Norfolk buildings as one development site with a shared courtyard on old lots 37 and 75. DOB dates are 35 days apart. Combine the administrative 378 and 117 units as one 495-unit parent. Use the archival 32,395-square-foot site once and exclude retained neighboring lots 1 and 95.",https://www.nyc.gov/assets/planning/download/pdf/applicants/env-review/go-broome/01-deis.pdf,2026-09-20,2-3;13,implemented
historical,420665845,420665952,accept,"NYSDEC identifies both addresses, one owner, and the planned merger of six earlier lots into lots 8 and 9. Its site-management plan explicitly describes the two buildings as one development. DOB filings are 13 days apart and total 478 administrative units. Adopt one economic parent; count the verified archival six-lot ground of 71862 square feet once when applying the membership and land updates together. The six 18v2beta lots sum exactly to the official DEC two-building site.",https://extapps.dec.ny.gov/data/DecDocs/C241235/Agreement.BCP.C241235.2019-10-11.Executed%20BCA.pdf;https://extapps.dec.ny.gov/data/DecDocs/C241235/Work%20Plan.BCP.C241235.2021-11-30.Site%20Management%20Plan%20%28SMP%29%20-%20Final.pdf,2026-09-20,Agreement3;7;SMP14,implemented
historical,210180533,210180542,accept,"Recorded easement p.3 identifies exact jobs210180533 and210180542 as two buildings on the common developer parcel38/39/155. The prefiling June2019 PhaseI site plan identifies the same combined ground, excluding retained37. Accept one264-unit economic parent on24880 square feet, preserving19v1 zoning and14579 square feet of prior floor after excluding retained37.",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090200965011;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090200965004,2026-09-21,5011:3|5004:4;9,implemented
historical,210180819,210180828,accept,"The developer and architect describe a planned two-building 570-unit campus with a shared amenities bridge and open space. The 244-unit and 326-unit DOB jobs were filed five days apart in February 2020. Later financing and construction phases do not separate that filing-cohort decision. Adopt one economic parent. The March 2022 declaration 2022031800654005 pages 3-8 defines and partitions their shared outer ground and excludes lots 129/162. Adopt the later administrative allocation of 30879 plus 39184 square feet, total 70063, as reconstructed development ground; the early area attributes are inconsistent. Implemented with the reviewed land allocation on September 21, 2026.",https://bronxprogroup.com/completed/starhill-phase-1-i-bronx-ny;https://marveldesigns.com/project/starhill-residences/,2026-09-20,Project descriptions and architect site plan,implemented
post_policy,B01325937-I1,B01325938-I1,unresolved,The 259-unit and 117-unit filings share a developer and are 22 days apart. The recorded declaration redraws both lots 63 and 66; its proposed lot 63 occupies much of old lot 66. Establish the two buildings and common ground as one development or document separate decisions before accepting either parent boundary.,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025120900296002,2026-09-20,2-4,needs_membership_evidence
post_policy,Q01254595-I1,Q01254580-I1,accept,"The developer identifies Elara as one 429-unit project. The recorded joint loan names both borrowers and all three parcels; its environmental schedules name both exact DOB jobs, and its existing-mortgage schedule records joint acquisition financing before their October 2025 filings. The jobs were filed one day apart. Combine 330 and 99 administrative units as one economic parent; count archival ground 25,787 plus 13,216 = 39,003 square feet once. This does not establish one legal wage-assessment unit.",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026082500424009;https://thedomaincos.com/portfolio/elara/,2026-09-20,1-4;31-35;Developer project page,implemented
historical,Q00657653,Q00657656,unresolved,"Same-day filings share a DOB owner and architect and occupy a prefiling partition of one earlier lot. NY DOS applicant forms assign complete separate building lots and describe neighboring projects developed by many of the same parties. The source establishes distinct physical ground 30071 and30067, but does not settle whether the initial two buildings were one coordinated economic decision. Preserve both parent IDs pending direct joint-development evidence.",https://dos.ny.gov/2024-06-07-final-94-15-sutphin-blvd-final-boa-application-proofs-delivery-dos;https://dos.ny.gov/147-35-95th-avenue-boa-conformance-application,2026-09-20,B4-5;30|A4,needs_membership_evidence
historical,B00698115,B00698117,accept,"The October 2023 DEC remedial investigation identifies one redevelopment of former Sears lots 14 and 53 with four new residential buildings. The developer identifies the four observed addresses as Bedford Square buildings A-D; the February 2024 DEC amendment documents later building-specific owners under the common project. The four DOB filings arrived within 31 days and total 877 units (296+354+132+95). Accept one economic parent. Ground is 177520.79 square feet: surveyed west lots 44/46 at 116870.79 plus whole earlier east lot 53 at 60650 once; exclude retained Sears. Later east successor areas sum to 60726, a 76-square-foot vintage difference. Implemented with the reviewed land allocation on September 21, 2026.",https://extapps.dec.ny.gov/data/DecDocs/C224384/Report.BCP.C224384.2023-10-26.Remedial%20Investigation%20Report.pdf;https://bedfordsquarebk.com/the-district/,2026-09-20,RIR13-14;project website four addresses,implemented
historical,B00698115,B00698118,accept,"The October 2023 DEC remedial investigation identifies one redevelopment of former Sears lots 14 and 53 with four new residential buildings. The developer identifies the four observed addresses as Bedford Square buildings A-D; the February 2024 DEC amendment documents later building-specific owners under the common project. The four DOB filings arrived within 31 days and total 877 units (296+354+132+95). Accept one economic parent. Ground is 177520.79 square feet: surveyed west lots 44/46 at 116870.79 plus whole earlier east lot 53 at 60650 once; exclude retained Sears. Later east successor areas sum to 60726, a 76-square-foot vintage difference. Implemented with the reviewed land allocation on September 21, 2026.",https://extapps.dec.ny.gov/data/DecDocs/C224384/Report.BCP.C224384.2023-10-26.Remedial%20Investigation%20Report.pdf;https://bedfordsquarebk.com/the-district/,2026-09-20,RIR13-14;project website four addresses,implemented
